word,embedding
lost,"[ 3.2649001e-03  7.5454904e-05 -2.5642049e-03 -3.3839871e-03
  2.5969639e-03 -1.6877030e-03 -3.2250879e-03  3.9224494e-03
  2.9555555e-03 -2.4491665e-03 -1.7092176e-03 -4.6573702e-04
 -4.2499267e-03 -3.8211977e-03  4.0634084e-03  2.9598963e-03
 -3.8300231e-03  2.4419589e-05 -3.4508829e-03 -2.0248792e-03
 -8.4093372e-05  3.3669109e-03  4.1376096e-03 -2.6859168e-03
 -4.0911199e-03 -1.6014015e-03  2.1610467e-03  2.3321945e-03
 -2.3875760e-03 -1.3286436e-04 -1.4199754e-03  3.1095855e-03
  1.2152571e-03  9.3598524e-04 -2.7231325e-03  3.0072401e-03
 -4.2826352e-03 -3.2197931e-03  4.3177637e-03 -2.4889046e-03
  2.1601703e-03  8.4038574e-04 -3.5396849e-03  2.5027934e-03
 -4.2280341e-03  2.1853514e-03  2.2509694e-03 -4.0229778e-03
 -4.1070017e-03 -3.4596876e-03 -4.6638506e-03 -2.6553322e-04
  3.3706725e-03  2.6308219e-03  2.9390531e-03  1.0621725e-03
 -5.3459208e-04 -3.2872423e-03 -3.7693146e-03 -2.3940844e-03
  1.7726765e-03 -5.0179302e-03 -1.7469529e-03 -1.1856363e-03
  2.2940924e-03  4.3546004e-04  1.7960460e-03 -2.0230010e-03
 -2.9094596e-03 -4.0866272e-03 -3.8516836e-03 -3.3718534e-03
 -4.3608625e-03  5.1497790e-04 -4.9073799e-03  3.0832826e-03
 -6.0765271e-04 -4.0640798e-03  2.3849320e-03  5.0148508e-03
  3.8831853e-03 -5.8534084e-04  2.3058269e-03  1.8944133e-03
  2.4920786e-03 -1.8950149e-03  2.1023948e-03  7.8032247e-04
 -3.7383924e-03 -3.4240622e-03  1.4439102e-03 -1.2555353e-03
  3.0899097e-03 -3.3461382e-03  4.4543743e-03 -2.3650692e-03
  3.1627952e-03  2.6923430e-03  8.7286369e-04 -8.4220752e-04]"
hour,"[ 4.5501450e-03 -1.7897434e-03 -3.2971359e-03  2.5620705e-03
 -4.1966420e-03 -2.7897060e-03  1.8794572e-03 -5.7739764e-04
 -1.0941441e-03 -3.6701104e-03 -8.0068683e-04 -1.1334396e-03
 -1.8004391e-03 -3.5531016e-03 -6.0224719e-04 -1.9054268e-03
  8.9133607e-04  1.8418203e-03 -2.3673142e-03  3.6340086e-03
 -2.9943658e-03 -1.1756544e-04  3.1204876e-03  2.9626887e-03
  1.6088395e-03 -1.1107079e-03  4.0645306e-03  4.1475808e-03
 -4.9676127e-03  8.1420981e-04 -2.8845803e-03  2.7611183e-03
 -4.7201323e-03 -4.6581118e-03 -1.4910097e-03  4.4661313e-03
 -6.9596770e-04  3.3125016e-03  3.9758817e-03 -1.9490557e-03
  4.8189671e-03  2.2709006e-03 -3.6351462e-03  2.0450710e-03
  3.3197503e-03  6.0700055e-04  2.8569935e-04  4.7475873e-03
 -3.2309797e-03  2.9431751e-03 -3.2838397e-03  2.2892503e-03
  2.4335866e-06 -5.3146452e-04 -3.5711275e-03  3.8957226e-03
  2.8213377e-03 -1.2453252e-03  1.8700551e-04  3.2789295e-03
 -4.5654512e-04 -4.5466870e-03  3.8480510e-03 -9.2865946e-04
  2.2137002e-03 -2.6636778e-03 -2.2495510e-03  3.4751851e-04
  1.0745259e-03 -2.4331403e-03  2.5221389e-03  9.8243915e-04
  4.2000609e-03  1.8059564e-03 -1.9096836e-03  4.6823202e-03
 -3.4460926e-03  2.3151348e-04  2.4362341e-04 -3.5953012e-03
 -3.9546518e-03  4.3757739e-03  2.5205864e-03  4.0256293e-03
  1.8472504e-03  4.5583551e-03 -3.8234335e-03  2.2399072e-03
  9.7253796e-04  4.3564873e-05 -4.7194003e-03  2.1848737e-03
 -1.2762379e-03 -4.7283736e-03 -6.8794121e-05  1.2397944e-03
  1.6455615e-03  4.4917288e-05  9.0440671e-04  1.1914574e-03]"
grief,"[ 3.41594778e-03  1.72995077e-03  3.25757195e-03  5.08968602e-04
 -2.59092223e-04  2.49677361e-03  3.95168550e-03  3.53552960e-03
 -4.06090403e-03 -7.20769749e-04  3.62240709e-03 -4.63770609e-03
  1.44843548e-03 -3.28823598e-03 -2.50302046e-03  4.75466438e-03
 -4.52127540e-03 -3.10973614e-03  1.08856335e-03  4.58882796e-03
  5.55392529e-04 -3.89052671e-04 -3.76635790e-03  2.97889020e-03
  3.10999132e-03 -4.49987641e-03 -4.13438771e-03  1.41699181e-03
 -4.89111943e-03  1.18024577e-03  4.31885151e-03  4.88575548e-04
 -3.99529468e-03 -8.49530101e-04  2.17096694e-03 -1.12109736e-03
  6.37310673e-04 -1.30636117e-03  6.85797888e-04  5.00374986e-03
 -2.60394113e-03  1.94779993e-03 -4.27902589e-04  2.79986765e-03
  4.06320643e-04 -5.40148583e-04  3.59868491e-03 -1.76447269e-03
  3.82435485e-03 -2.97564315e-04 -2.66715791e-03 -2.66744802e-03
 -4.93848696e-03 -4.56234813e-03 -2.30981084e-03 -4.17779404e-04
 -3.69184697e-03 -3.00940359e-03  2.40544279e-04 -8.59880704e-04
 -3.14346908e-05 -3.77867487e-03  2.04799231e-03  4.26551880e-04
 -1.78674085e-03  2.31573218e-03  2.80137989e-04 -2.19394360e-03
  1.02500315e-04 -2.67625973e-03 -4.34516277e-03 -2.69415119e-04
 -4.49504843e-03  4.44957847e-03  7.60620227e-04 -1.99341215e-03
  1.96541587e-04  1.99010829e-03  1.34176211e-04  7.38680945e-04
  2.41613528e-03  5.14838146e-04 -1.64897053e-03  4.32132836e-03
 -1.13097718e-03 -4.41308226e-03 -1.88750820e-03  2.04357086e-04
  2.71640066e-03  2.54516862e-03  4.37243516e-03  1.03612884e-03
  4.49613715e-03 -2.91878660e-03  9.87130334e-04  3.36218998e-03
 -3.81168386e-04  2.77087069e-03  2.26348219e-03 -4.25444916e-03]"
prayer,"[ 1.2809860e-03 -2.6672338e-03  3.2834264e-03 -4.6888189e-03
  1.8805290e-04 -2.5775926e-03  2.7804666e-03 -3.2104538e-03
 -1.6409245e-03  4.8655258e-03 -3.9942535e-03  3.3637953e-03
 -7.3345407e-04 -4.4877008e-03  1.8265580e-03  2.1148117e-03
 -1.7036273e-03 -1.6199501e-03 -1.5117920e-03 -4.2559337e-03
  1.8001529e-03 -3.3898850e-03 -4.3772995e-03 -2.7931991e-04
 -3.3521338e-03 -3.2120189e-04 -5.4745236e-04  1.5497925e-03
  1.1890332e-03  2.7519558e-03 -2.2531014e-03 -1.3435858e-04
 -3.3426187e-03  3.4670923e-03  4.8732334e-03  2.3051936e-03
 -2.9158508e-03 -1.2749108e-04  1.6957480e-03 -2.9980037e-03
 -3.5794516e-04 -3.1527923e-03 -1.5061486e-03 -2.8227577e-03
 -3.2169775e-03 -4.0806088e-05  1.8272289e-03 -1.0262054e-03
  1.4894743e-03  4.9324888e-03 -1.3663532e-03  3.2815833e-03
  3.7947164e-03 -3.4051405e-03  6.5747049e-04  7.7754341e-04
  1.2848002e-03 -1.9380494e-03  3.4877181e-03  4.4561983e-03
 -1.4350537e-03  2.8405301e-03 -4.1868379e-03  9.5405872e-04
 -1.4905832e-03  7.9907570e-04 -3.6657397e-03 -2.2022184e-03
  2.4306558e-03  2.4088081e-03 -1.7612802e-03 -5.8598820e-05
 -4.2572394e-03 -1.5732222e-03 -2.7119257e-03 -1.4121793e-03
 -1.2717682e-03  4.2018052e-03 -3.8919989e-03 -2.8620854e-03
 -2.4748857e-03  3.0192689e-03  1.8351385e-03 -3.5902585e-03
  3.7962024e-03 -4.2044176e-03  1.7274710e-03 -3.3035227e-03
  5.2990974e-03 -2.7590694e-03 -2.6219925e-03  1.0328042e-04
  1.7694646e-03  3.6134834e-03 -8.7549597e-05  1.6374255e-03
 -3.2488559e-03  2.7410739e-05  4.3604947e-03  2.0371277e-03]"
bereaved,"[ 1.5330134e-03  1.2594468e-03 -4.7743241e-03 -1.7424410e-03
 -2.9097884e-03  2.5571312e-04  4.7980999e-03  1.1344710e-03
 -4.7431578e-05 -4.3536993e-03  1.5027393e-03  2.5224148e-03
  7.7746599e-04 -1.1360265e-03 -3.8266547e-03 -2.9147617e-04
  4.8262118e-03 -2.3559667e-03  3.3967411e-03 -2.8395313e-03
 -1.2375619e-03  5.0494811e-03 -3.0208086e-03  2.4702132e-03
 -5.0980127e-03  2.9228011e-03  4.6250103e-03 -2.5184283e-03
 -2.8027706e-03  1.0608555e-03 -4.6842475e-03  4.1943612e-03
  2.0927128e-03 -3.1782002e-03  4.5270864e-03  4.8889709e-04
  4.1699517e-03 -4.1193422e-03  3.0539993e-03  4.6958574e-03
 -4.3957932e-03  4.9024313e-03  6.3259120e-04 -4.4818353e-03
 -2.1831424e-03  2.6661078e-03 -3.5151129e-03 -4.8103263e-03
 -4.1366350e-03 -3.7101361e-03  1.1057924e-03 -2.0504694e-03
  4.7872583e-03  4.9946783e-03  5.0347606e-03  3.6862129e-05
  1.5485610e-03 -4.1803727e-03  3.2241850e-03  2.0841581e-03
  2.7952818e-03 -1.6081212e-03  4.7850232e-03 -1.4555608e-03
  4.2171744e-03  2.9857184e-03  8.0666208e-04 -8.7999069e-04
  7.7111775e-04 -4.9546971e-03  3.4538144e-03  1.9107455e-03
  5.8510818e-04  1.8618202e-03  3.3905313e-03  2.1162258e-04
 -2.7491285e-03 -4.5073568e-03 -4.5425858e-04  3.1784698e-03
  4.8566624e-03 -3.5423888e-03  3.0514891e-03  4.1336659e-03
  4.3246192e-03  3.8954592e-04 -1.5960693e-03  4.8367851e-03
 -2.3892438e-03 -3.7049097e-03  1.0204602e-03 -2.7764821e-03
  2.4660950e-04 -1.1959682e-03  4.8244540e-03  1.2370261e-03
  3.6644924e-03 -2.6780509e-03 -4.3052630e-03  6.7927630e-04]"
family,"[ 5.1297019e-03  2.0728400e-03 -5.1241834e-03 -2.9595818e-03
 -4.4491310e-03  2.7882070e-03  3.3614598e-03 -4.0022242e-03
  5.3290189e-03  3.1149425e-03 -4.2363578e-03 -3.2213887e-03
 -1.2629353e-03  2.4820303e-03 -3.8345826e-03 -5.3368309e-03
  6.9305475e-04  2.5017699e-03  6.1760814e-04  2.7107177e-03
 -2.5355502e-03  2.8458054e-03  3.4693294e-05 -3.8405904e-03
  1.1740704e-03  4.6640614e-04 -1.3967637e-03 -2.1404258e-03
  3.2700903e-03 -5.9243862e-04  4.5984425e-03  4.2821453e-03
  5.4234397e-03  1.8845142e-03 -7.7084976e-04 -1.5781178e-03
 -1.0188673e-04  1.4025795e-03 -2.1425739e-03 -3.2851545e-03
  2.1529656e-03 -1.7124440e-03  3.2704335e-03  3.0603893e-03
 -5.4305959e-03  9.0797606e-04 -1.4807502e-03  3.9567165e-03
  3.1813062e-03  5.4695276e-03 -2.3327027e-03 -2.1889741e-03
  4.0537471e-04  3.8419294e-03 -2.2201394e-03  3.7589609e-03
  2.8036651e-03 -7.3151389e-04  1.8093600e-03  2.1852662e-03
  2.2862644e-03 -1.8226956e-03  4.1124006e-03 -5.1791472e-03
  5.1113050e-03  4.6286671e-03 -5.8996258e-04  3.5669056e-03
 -3.6008472e-03 -3.7309483e-03  4.7010108e-04  1.7853404e-03
  4.3909093e-03  4.0094182e-03  2.3910627e-03  4.2543905e-03
 -4.3504294e-03 -2.1680237e-03 -8.1908598e-04 -4.5321835e-03
  4.3010032e-03  4.1835383e-03 -6.0375910e-03  4.2211167e-03
 -2.3726507e-03 -3.6839682e-03  4.8963050e-03  1.3893654e-03
  6.0028532e-03 -8.1693329e-04  2.4656490e-03 -2.0097631e-03
 -2.9760117e-03  5.9633219e-04 -4.2734784e-04  2.7133732e-03
 -5.4260222e-03 -6.9655880e-04  3.5172708e-03 -3.0925847e-04]"
cmprachanda,"[ 1.5662042e-04 -4.8252158e-03  3.5170050e-04  4.2700064e-03
 -3.8322310e-03 -3.5774030e-03  1.4716209e-03  4.4864020e-03
 -3.3395840e-03  2.5963581e-03 -3.8506377e-03 -4.1674054e-03
  3.9077466e-03 -3.5487115e-03  1.2986443e-03 -9.0808014e-04
  5.5018486e-04  3.2703974e-03 -2.8914937e-03  1.9950462e-03
  1.7739895e-03  1.9624415e-03 -3.5290706e-03  3.8394283e-03
  1.4948318e-03  1.4213864e-03 -1.2316501e-03 -4.2425543e-03
 -4.1021113e-03  2.0926942e-03 -6.4907462e-04 -3.6127924e-04
  1.5401626e-03  1.0054978e-03 -4.2401506e-03 -1.8313380e-03
 -1.5449611e-03 -1.4606639e-03  3.5414814e-03  2.3944215e-03
 -3.8362106e-03 -3.2248406e-03 -1.1669965e-03 -6.3529576e-04
  4.1273464e-03  1.8510614e-03 -8.5259631e-04 -3.9253561e-03
  3.5840927e-03 -3.2667082e-03  1.4395772e-03 -1.7042882e-03
  2.5795253e-03  3.9813975e-03 -3.5340588e-03 -8.4408669e-04
  3.0346150e-03 -1.8238603e-03 -1.4577290e-03 -4.7504683e-03
  2.6436031e-03  4.0440978e-03  1.1364336e-03  2.6094257e-03
 -3.9280993e-03  3.0251879e-03 -4.0658698e-03  3.9972793e-03
 -2.5853713e-03 -1.8241323e-03 -4.2495979e-03 -3.7139498e-03
  1.7691264e-03  1.2275366e-03 -1.9310166e-03 -9.5089839e-04
  4.2117576e-04 -2.2986178e-04 -4.3435949e-03  2.0244033e-03
 -2.6775319e-03 -1.4320937e-03 -4.2100274e-03  2.3515054e-03
  4.6573723e-06  6.3785765e-04 -1.0513788e-03  3.0201164e-03
  2.7032732e-03  1.5386326e-03  9.9350652e-04  2.9620309e-03
 -1.2317847e-03 -3.8390658e-03 -3.1484019e-03 -2.1880988e-03
 -2.1999690e-03 -2.1543771e-03 -1.5707408e-03  4.1996553e-03]"
pm_nepal_,"[-4.8719216e-03  1.6936911e-03  4.7348980e-03 -4.2629000e-03
  2.2813303e-03 -1.2535725e-03 -4.1343961e-03 -1.5324220e-03
  2.3154139e-03 -2.4010215e-03 -1.3182256e-03 -7.0297165e-04
 -4.1289834e-04  6.6646091e-05  2.1501852e-03 -3.3031597e-03
  5.0082114e-03  2.0231118e-03  1.7636959e-03 -2.2141894e-03
 -1.9927151e-04  2.0002376e-03  1.4185402e-05  3.7282081e-03
 -4.8120413e-03  1.2327230e-03  1.2674000e-03  1.4286601e-03
  3.1630248e-03 -1.1873194e-03 -2.3389121e-03 -4.5312513e-03
  2.1552583e-03  2.0623521e-03  4.5868470e-03  2.0455807e-03
 -3.1568257e-03  3.0877630e-03 -3.5938625e-05  4.4844486e-03
 -4.8853122e-03 -2.3151098e-03 -2.4368584e-03  2.9137726e-03
 -2.6810761e-03 -2.9887520e-03 -2.9819154e-03  2.2323297e-03
 -5.0160690e-04  5.1343470e-04  3.2558264e-03 -2.0020045e-03
 -4.9933475e-03 -2.7255688e-03  4.6791816e-03  4.3445900e-03
 -3.4851127e-03 -1.2432577e-03  4.9925311e-03 -2.4893400e-03
  1.9397794e-03  2.6205769e-03 -2.9408149e-03  3.0942082e-03
 -4.5550079e-03  3.5711439e-04 -2.3693151e-03 -3.4522507e-03
  3.7776624e-04 -5.3665688e-04  1.6702125e-03  8.2070255e-05
  4.2277966e-03  8.1372255e-04  3.5884324e-03 -2.7389645e-03
  3.5181176e-03 -3.7961570e-03 -4.6310635e-04  2.8635610e-03
 -2.4471614e-03 -3.3311439e-03  1.7443934e-03  2.7237164e-03
 -3.2891852e-03 -6.3387165e-04 -4.0436140e-03 -2.4410172e-03
 -4.2485646e-03  2.6431086e-03 -4.8560682e-03 -4.4268148e-04
 -3.0957898e-03  1.9105450e-03 -1.7388236e-03  1.3497300e-03
 -1.7368211e-03 -2.4322974e-03  2.4681257e-03  1.1991598e-03]"
మేము,"[-2.8076994e-03 -2.3739287e-03 -1.0952920e-03 -4.0892260e-03
  9.0357236e-04  6.2087656e-07  3.2813924e-03  4.6947976e-03
 -2.8700219e-03 -1.3560836e-03 -4.9427282e-03  2.7832175e-03
  4.2193895e-03  4.1822712e-03 -3.5324052e-03  1.4526062e-03
 -2.5263552e-03 -3.0031749e-03  8.0045033e-04  3.3578679e-03
  7.1129901e-04 -4.3778797e-04 -2.6058855e-03  4.9562356e-03
 -5.3777755e-04  3.9648949e-03 -7.3527475e-04  5.8096979e-04
  3.1247945e-03  3.8677913e-03  1.6435365e-03  3.8224719e-03
  2.4038597e-03 -1.5658387e-03  5.9551076e-04  2.7306324e-03
  3.6620563e-03 -3.8572417e-03 -5.6893867e-04 -3.9984618e-04
  3.3212602e-03  1.0797859e-03  6.3560467e-04 -1.6473301e-03
 -4.4483161e-03 -1.8220227e-03 -2.9722028e-03  3.2367180e-03
  4.6035498e-03  6.3496840e-04  4.0987749e-03 -1.3162589e-03
  3.4128448e-03 -2.6045549e-03 -2.8255209e-03  3.4390253e-03
 -3.6188031e-03  5.7893083e-04  1.4076913e-03 -1.4912831e-03
  9.2165970e-04  3.9941634e-04  5.2780396e-04 -3.9501744e-03
  3.3031111e-03 -4.5819841e-03  2.8765262e-03  3.5134014e-03
 -3.7002270e-04 -2.2416969e-03 -4.4465247e-03  1.2468877e-03
 -2.8767665e-03 -2.4701951e-03  3.0251844e-03 -1.2107432e-03
 -4.9882908e-03  6.9542637e-04  3.0918240e-03 -4.4670035e-03
 -1.1612750e-03 -2.0058411e-03 -3.6705988e-03 -3.2330768e-03
 -1.3012915e-03 -1.5550627e-03  3.2118021e-03 -5.3177401e-04
 -3.3331499e-03 -4.3646940e-03 -3.5205404e-03  1.6374639e-03
 -1.5284751e-04 -7.0651271e-04  3.0660806e-03  1.5149974e-03
  9.7937405e-04  4.6767648e-03  4.8549362e-03 -4.9049058e-03]"
ఆంధ్రప్రదేశ్‌లో,"[ 3.6090850e-03  2.0478424e-03  1.0565943e-03  4.6601766e-03
  4.3532993e-03  1.6636102e-03  4.4715689e-03  4.5346636e-03
  1.1413571e-03  1.5365283e-03 -3.4129405e-03 -4.1615982e-03
  1.7848709e-03 -3.8859239e-03 -6.4349454e-04  4.7469377e-03
 -4.3503605e-03 -1.6549104e-03 -4.2055529e-03  3.4391172e-03
 -1.7502403e-03  3.5649596e-03  8.5397798e-04  9.6487982e-04
 -6.7798758e-04  5.4466457e-04 -1.2455781e-03 -7.3589489e-04
 -4.3016351e-03  7.3996512e-04  3.0466553e-03  6.9333328e-04
 -2.0947924e-03 -4.5077172e-03  1.2934641e-03 -3.1432705e-03
 -2.3638564e-03  3.6334547e-03  2.7783180e-03  1.4006348e-03
  3.5842373e-03 -3.0950729e-03  2.4089236e-03  3.3080167e-04
 -1.3505040e-03  2.8431206e-03  2.3698936e-04  1.0265834e-03
 -2.0421203e-03  3.6869131e-03 -4.5882180e-04  3.5835705e-03
 -1.1036593e-03 -2.7826100e-03  1.0654773e-03 -3.7326168e-03
  2.8279717e-03 -1.2168867e-03  2.4978659e-04 -7.6055055e-04
  7.0748775e-04  4.3054027e-03  7.6784228e-04 -1.7330447e-03
 -9.0449728e-04 -1.2593000e-03 -2.6110688e-03  1.1185064e-03
 -1.7904241e-03  4.0161712e-03  9.3656599e-05  1.4300401e-03
  3.8482123e-03 -2.9839475e-03  3.8890466e-03 -1.4380799e-03
  2.5081809e-03 -3.8938506e-03  4.8686061e-03  4.7809100e-03
 -1.0767021e-03 -4.1443883e-03  2.8340924e-03 -4.6031661e-03
  1.0666491e-03 -1.3553059e-03  3.0650015e-03  1.7429415e-04
 -1.4398334e-03  4.3065189e-03 -2.8275861e-03  4.8662702e-04
  8.1938873e-05 -3.1137239e-04  5.5576395e-04 -3.1994621e-03
 -1.3136875e-04  2.4859088e-03  3.2883312e-03  1.0204992e-03]"
రైల్వే,"[-1.1130425e-03 -4.0650109e-05  1.5352864e-03  2.8362430e-03
 -3.9933496e-03 -9.5397531e-04  3.8292762e-03  4.1033927e-04
 -1.9384825e-03  2.1512629e-03  3.5696712e-03  1.3512488e-03
  7.9217984e-04  4.3812557e-03  4.1302056e-03  9.9984417e-04
  2.0309398e-04 -1.9454017e-03 -1.5577996e-04  5.1786157e-04
  3.7522931e-03 -2.0653722e-03 -2.8662260e-03 -2.7122388e-03
  2.8725688e-03 -1.2456697e-03  4.3888502e-03 -3.9695147e-03
  5.8038527e-04 -4.7004013e-03  4.6155076e-03  5.0138389e-03
  2.1674007e-03  1.3706686e-04  1.2120279e-03 -2.3859087e-03
 -4.7634183e-03  2.2458388e-03 -4.2252811e-03 -2.7666995e-03
 -1.3021601e-03  4.7000013e-03  4.4711386e-03 -5.6667021e-04
  1.3518404e-03  4.7551556e-03 -1.2856604e-03 -1.9117262e-03
 -8.3440047e-04  4.6259593e-03 -1.9734537e-03 -4.5919293e-03
  3.1124593e-03  3.5507702e-03  2.4735890e-03  3.5144833e-03
  2.1704379e-03 -8.8358662e-05 -1.4296138e-04 -2.5887454e-03
 -1.8937611e-03 -1.3497279e-03  4.9581369e-03  2.6395263e-03
  2.0097324e-03 -4.7773803e-03 -8.0062629e-04  1.4846765e-03
  4.5707871e-04  4.3849772e-04  4.7950041e-03  1.8619691e-03
 -2.8711257e-03  2.5132585e-03 -4.7259410e-03  4.1807615e-03
  3.8788454e-03  4.1642901e-03  7.6745986e-04  4.7102836e-03
 -4.2165522e-03  1.0916259e-03  9.3990058e-04  1.6089635e-03
 -1.9889001e-03  2.4489796e-04 -1.7279843e-03 -8.9872919e-05
  4.9386043e-03  3.0088623e-03  4.1481387e-03  2.4770029e-04
  3.2962539e-04  3.6860231e-04 -2.4861037e-03 -2.5747288e-03
 -2.5179808e-03  4.5965505e-03  4.0396941e-03 -4.9729417e-03]"
మౌలిక,"[-0.00199391 -0.00296141 -0.00226546 -0.0016683  -0.0031353   0.00019336
 -0.00414925  0.00148262  0.00438349  0.00141626 -0.00406091  0.00446497
 -0.0015245  -0.00286006 -0.00106327 -0.00101609  0.00075516  0.00134082
 -0.00279479  0.0025802   0.00049169  0.00210135 -0.00225363  0.00295726
 -0.00068726 -0.00380527 -0.00321585 -0.00254768 -0.00155058  0.00236789
 -0.0020247   0.00406115 -0.00195526  0.00309296  0.00010195 -0.00421107
  0.00179448 -0.00281682  0.00371067  0.00333866  0.00124491  0.00247189
  0.00138135 -0.00056516  0.00203947 -0.00061554  0.00082168 -0.00028532
  0.00426969  0.00325223  0.00211412 -0.00287865 -0.00092417 -0.00019082
 -0.0017395   0.00381813  0.00325639 -0.00126499 -0.00155817  0.00321832
  0.00074828 -0.00039012 -0.00033777  0.00177648 -0.0027057  -0.00277408
 -0.00125367  0.00100623 -0.00318546 -0.00313161  0.0025102  -0.00412029
  0.00135784  0.00286695  0.00120884  0.00230074 -0.00253716  0.00088357
  0.00207401 -0.00344439 -0.00422286  0.00318144  0.00191025 -0.00036111
  0.00237364 -0.00183137  0.00171089 -0.00290392  0.00364002 -0.00235488
 -0.00363308  0.00287414  0.00106435 -0.00357116  0.00359119  0.00328416
 -0.00069842 -0.00319426  0.00357809 -0.0025666 ]"
సదుపాయాలను,"[ 3.4326233e-03  4.3641444e-04  3.0605653e-03 -1.0846185e-03
 -3.8526105e-03  1.1077607e-03  3.9124361e-04  8.6028784e-05
 -4.0725069e-03 -4.0031468e-05 -2.0085473e-03 -4.3125674e-03
  4.1189094e-04  9.7912154e-04 -1.7791467e-03 -3.1307144e-03
 -1.4326205e-03  3.9998856e-03  4.6940120e-03 -8.4937426e-05
  3.1904378e-03  7.4387458e-04  4.8034411e-04 -2.5146245e-03
  1.7377866e-03  1.8074685e-03 -4.8536644e-03  4.0452792e-03
 -4.8573427e-03 -1.4805908e-03 -8.1900269e-04  3.5131597e-03
  1.5159510e-03 -3.3882577e-03  3.3749843e-03  4.3427995e-03
  4.6513188e-03  3.6687814e-03  1.2098828e-03  1.1275038e-03
  4.3539917e-03  3.4229294e-03 -1.8483254e-03  3.3724485e-03
 -7.7313848e-04  1.2832958e-03 -7.9858827e-04  2.8978260e-03
 -1.6036944e-03 -3.1780608e-03 -1.7252266e-03  3.0703703e-03
 -3.0054497e-03 -3.1533048e-03  1.7092765e-03  2.5822034e-03
  1.2730651e-03  3.8216745e-03  3.2159926e-03 -3.5882588e-03
 -1.1064768e-04  3.7096502e-04  4.2506205e-03  4.6897572e-03
 -6.0942206e-05  1.7835241e-03  8.1004662e-04 -1.4238911e-03
 -3.2136114e-03  4.6938877e-03 -2.8952048e-03  5.9704215e-04
 -6.5243716e-04  3.5028204e-03  8.0922112e-04  1.1371379e-03
  2.2021057e-03 -4.0147416e-03 -2.0309158e-03  4.0162606e-03
 -3.8799609e-03  3.1378535e-03  4.4190255e-03 -3.1505974e-03
  2.7502351e-03  4.2178286e-03 -2.3771948e-03  2.8628742e-03
 -1.8493002e-03  2.8187823e-03 -4.0018149e-03 -1.0204314e-03
 -2.2230598e-03  2.6928779e-04  3.1331477e-03 -1.4857998e-03
  1.4320173e-03 -4.0719816e-03  4.3100738e-03  4.1397745e-04]"
ఈ,"[-3.7001062e-03 -4.1542447e-04 -3.0846705e-03  1.8690318e-03
 -8.0204551e-04  4.0059779e-03 -3.4156076e-03 -1.6713671e-03
 -3.2302761e-03 -1.4564994e-03 -1.9092286e-03  9.7925862e-05
  1.5814801e-03 -4.9330695e-03  1.7747654e-03  2.1910223e-03
 -1.1946579e-03 -4.3315189e-03 -1.2407510e-03  3.8243560e-03
 -2.8744373e-03  6.6414889e-04  3.9215931e-03 -2.4376692e-05
 -3.6423896e-03  2.2412078e-05  3.8513730e-04 -2.3954646e-03
  2.8173986e-03 -1.5990243e-03 -6.5667514e-04 -1.9466289e-03
  2.9723870e-03  1.1757381e-03  3.1772300e-03 -2.3064853e-04
 -3.9356346e-03 -4.0900805e-03  4.7649508e-03 -2.1504124e-03
  3.6611643e-03 -4.9724467e-03 -1.5950797e-03 -2.9061355e-03
  4.1258344e-03  8.5650611e-04 -3.7538118e-03 -9.6085342e-04
  4.0647052e-03 -2.6748367e-03  2.7953060e-03 -3.8973673e-04
  3.1382265e-03 -2.0976800e-03 -1.6773907e-03  2.3613200e-03
  4.3989187e-03 -4.4212895e-03 -4.6421015e-03  4.9475348e-03
 -3.3884156e-03  4.5301812e-03 -2.9126531e-03 -3.3733724e-03
  2.7417445e-03 -1.2663659e-04  3.4417555e-04 -4.9672299e-03
 -5.6654046e-04  4.7560752e-04  3.9507071e-03  9.5876440e-04
  3.3744401e-03 -1.9059068e-03  3.3814155e-03  2.3127517e-04
  2.3473704e-03 -3.3488963e-03  1.1832413e-03 -1.1523977e-03
 -7.9266925e-04 -3.9489940e-03  3.4998760e-03 -2.1050212e-03
 -1.0939878e-03  4.1078269e-03 -4.5332261e-03  1.6532126e-03
  2.3527315e-03  1.3029678e-03  2.1058270e-03  3.6568101e-03
 -7.9550216e-04 -3.8776917e-03  4.7556125e-03 -3.3075549e-03
 -1.1144868e-03 -2.2370727e-03 -2.2676695e-04 -4.3795980e-03]"
